                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.96315,                0.83733,                 1.2814,                0.93354,                0.91713,                0.95331,                 0.7677,                 1.3386,                0.54414,                  1.804,                0.00307,                0.00307,                0.00307
                     73,                0.96064,                0.83594,                 1.2802,                0.93362,                0.91776,                0.95337,                0.76781,                 1.3384,                0.54365,                 1.8047,               0.002971,               0.002971,               0.002971
                     74,                0.96012,                0.83288,                 1.2795,                0.93435,                0.91689,                0.95336,                0.76786,                 1.3382,                0.54323,                 1.8046,               0.002872,               0.002872,               0.002872
                     75,                0.95934,                0.82773,                 1.2761,                0.93577,                0.91564,                0.95349,                0.76804,                 1.3378,                 0.5425,                 1.8043,               0.002773,               0.002773,               0.002773
                     76,                0.95797,                0.82888,                 1.2764,                0.93464,                0.91712,                 0.9535,                0.76807,                 1.3378,                 0.5422,                 1.8033,               0.002674,               0.002674,               0.002674
                     77,                0.95813,                0.82676,                 1.2778,                0.93649,                0.91587,                0.95362,                0.76814,                 1.3377,                0.54177,                 1.8027,               0.002575,               0.002575,               0.002575
                     78,                 0.9528,                0.82284,                 1.2741,                0.93587,                 0.9162,                0.95335,                0.76825,                 1.3374,                0.54209,                 1.8037,               0.002476,               0.002476,               0.002476
                     79,                0.95289,                 0.8218,                 1.2729,                0.93588,                0.91659,                0.95331,                 0.7679,                 1.3374,                0.54197,                  1.805,               0.002377,               0.002377,               0.002377
                     80,                0.95099,                0.81412,                 1.2722,                0.93356,                0.91821,                0.95335,                0.76811,                 1.3373,                0.54172,                 1.8056,               0.002278,               0.002278,               0.002278
                     81,                0.95044,                0.81814,                 1.2715,                0.93225,                0.91925,                0.95345,                0.76815,                 1.3372,                0.54112,                 1.8061,               0.002179,               0.002179,               0.002179
                     82,                0.95006,                0.81516,                 1.2703,                0.93181,                0.92002,                 0.9536,                0.76826,                 1.3369,                0.54066,                  1.806,                0.00208,                0.00208,                0.00208
                     83,                0.95027,                0.81535,                 1.2709,                0.93119,                0.92071,                0.95368,                 0.7684,                 1.3364,                0.53965,                 1.8071,               0.001981,               0.001981,               0.001981
                     84,                0.94767,                0.81129,                 1.2676,                 0.9335,                0.91892,                0.95362,                0.76852,                  1.336,                0.53969,                 1.8083,               0.001882,               0.001882,               0.001882
                     85,                0.94455,                0.81088,                 1.2681,                  0.934,                0.91863,                0.95363,                0.76863,                 1.3358,                0.53926,                 1.8082,               0.001783,               0.001783,               0.001783
                     86,                0.94188,                 0.8046,                 1.2651,                0.93287,                0.91984,                0.95385,                  0.769,                 1.3355,                0.53842,                 1.8087,               0.001684,               0.001684,               0.001684
                     87,                0.94287,                0.80426,                 1.2641,                0.93239,                0.92097,                0.95401,                0.76912,                 1.3354,                0.53742,                 1.8102,               0.001585,               0.001585,               0.001585
                     88,                0.93739,                0.79687,                 1.2612,                0.93404,                0.91998,                0.95408,                0.76909,                  1.335,                0.53672,                 1.8109,               0.001486,               0.001486,               0.001486
                     89,                0.93763,                0.80026,                 1.2617,                0.93399,                 0.9201,                0.95416,                0.76925,                 1.3345,                0.53606,                 1.8115,               0.001387,               0.001387,               0.001387
                     90,                0.93775,                0.79931,                 1.2607,                0.93379,                0.92104,                0.95417,                0.76931,                 1.3343,                0.53536,                 1.8127,               0.001288,               0.001288,               0.001288
                     91,                0.87231,                0.38948,                 1.2424,                0.93448,                0.92072,                0.95418,                0.76956,                 1.3333,                0.53515,                 1.8116,               0.001189,               0.001189,               0.001189
                     92,                0.86569,                0.37982,                 1.2374,                0.93605,                 0.9198,                0.95438,                0.77006,                 1.3324,                0.53422,                 1.8083,                0.00109,                0.00109,                0.00109
                     93,                0.86079,                0.37557,                 1.2343,                0.93788,                0.91832,                0.95452,                0.77013,                 1.3314,                0.53329,                 1.8052,               0.000991,               0.000991,               0.000991
                     94,                0.85695,                0.36991,                 1.2313,                0.93761,                0.91912,                0.95445,                0.77013,                 1.3303,                0.53281,                 1.8017,               0.000892,               0.000892,               0.000892
                     95,                0.85369,                0.36605,                 1.2292,                0.94188,                0.91516,                0.95456,                0.77029,                 1.3296,                0.53255,                  1.798,               0.000793,               0.000793,               0.000793
                     96,                0.85199,                 0.3625,                 1.2238,                0.94226,                0.91574,                0.95468,                0.77057,                 1.3288,                0.53217,                 1.7943,               0.000694,               0.000694,               0.000694
                     97,                0.84994,                0.35921,                 1.2227,                0.94296,                0.91486,                0.95455,                0.77055,                 1.3282,                0.53145,                 1.7915,               0.000595,               0.000595,               0.000595
                     98,                0.84485,                0.35517,                 1.2188,                0.94252,                0.91575,                0.95466,                0.77071,                 1.3276,                0.53076,                 1.7882,               0.000496,               0.000496,               0.000496
                     99,                0.84395,                0.35276,                 1.2193,                0.94164,                0.91673,                0.95471,                0.77083,                 1.3268,                0.53009,                 1.7863,               0.000397,               0.000397,               0.000397
                    100,                0.84117,                0.35079,                 1.2155,                0.94187,                0.91683,                0.95479,                0.77085,                 1.3263,                 0.5292,                 1.7841,               0.000298,               0.000298,               0.000298
