                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 2.7687,                 5.3767,                 3.3091,                      0,                      0,                      0,                      0,                 3.3829,                 5.2807,                 3.6462,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.8034,                 4.8282,                 2.3914,                      0,                      0,                      0,                      0,                 3.3767,                 5.2878,                  3.631,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.7825,                 5.0334,                  2.668,                      0,                      0,                      0,                      0,                  3.373,                 5.2942,                 3.6258,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 2.5335,                 5.1707,                 3.1226,                      0,                      0,                      0,                      0,                 3.3809,                 5.2942,                 3.6354,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 2.3919,                 5.0011,                 3.1147,                      0,                      0,                      0,                      0,                 3.4183,                 5.2833,                 3.6387,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.9501,                 4.8274,                 2.5479,                      0,                      0,                      0,                      0,                 3.4017,                 5.2807,                 3.6228,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 1.8536,                  4.942,                 2.5253,                      0,                      0,                      0,                      0,                 3.3903,                 5.2914,                 3.6097,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.2319,                 5.0214,                 3.0014,                      0,                      0,                      0,                      0,                 3.4198,                 5.2784,                 3.6488,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.2078,                 4.9776,                 2.5391,                      0,                      0,                      0,                      0,                 3.4135,                 5.2751,                 3.6452,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 1.8742,                  4.886,                 2.5216,                      0,                      0,                      0,                      0,                 3.3891,                 5.2894,                 3.6248,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.0866,                 4.9315,                 2.7739,                      0,                      0,                      0,                      0,                 3.4168,                 5.2851,                 3.6431,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 2.0945,                 4.8505,                 2.6374,                      0,                      0,                      0,                      0,                  3.407,                 5.2854,                 3.6417,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.0923,                 5.1145,                 2.7704,                      0,                      0,                      0,                      0,                 3.4124,                  5.286,                 3.6216,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                  2.711,                 5.1953,                 3.1109,                      0,                      0,                      0,                      0,                 3.4246,                 5.3026,                 3.6299,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 2.5325,                 4.9786,                 2.9839,                      0,                      0,                      0,                      0,                 3.4227,                 5.3055,                 3.6488,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.1664,                 4.8318,                   2.59,                      0,                      0,                      0,                      0,                  3.434,                 5.3087,                 3.6347,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 2.7067,                 5.1288,                 3.0263,                      0,                      0,                      0,                      0,                 3.4404,                 5.2958,                 3.6628,             2.3444e-06,             2.3444e-06,             2.3444e-06
